37606
466 525 0
2534 1485 0
1485 2534 0
599 2080 0
2080 599 0
1391 1411 0
1411 1391 0
672 460 0
480 1291 0
1291 480 0
460 672 0
740 328 0
328 740 0
282 610 0
610 282 0
1525 1525 0
296 2361 0
7 282 0
282 7 0
2361 296 0
2569 1189 0
1189 2569 0
136 136 0
1368 825 0
1339 761 0
2129 1345 0
1345 2129 0
2561 2313 0
2313 2561 0
1015 1312 0
328 1106 0
1106 328 0
1312 1015 0
800 233 0
328 340 0
1642 2214 0
922 935 0
935 922 0
2214 1642 0
2647 1281 0
1281 2647 0
963 328 0
328 963 0
825 1368 0
340 328 0
761 1339 0
233 800 0
1061 2215 0
1049 469 0
469 1049 0
612 1047 0
1047 612 0
1275 397 0
1411 2617 0
2617 1411 0
397 1275 0
2617 288 0
288 2617 0
205 1465 0
1465 205 0
1411 2591 0
2591 1411 0
2453 563 0
563 2453 0
2266 2068 0
2068 2266 0
170 170 0
710 2056 0
2056 710 0
1015 701 0
1045 1045 0
1015 413 0
2203 1015 0
1015 2203 0
413 1015 0
2600 1281 0
1281 2600 0
2541 2229 0
2229 2541 0
800 1410 0
2215 1061 0
1410 800 0
381 1407 0
381 2375 0
2375 381 0
307 307 0
2570 1686 0
1686 2570 0
701 1015 0
2342 33 0
33 2342 0
1407 381 0
2306 1226 0
328 2295 0
2141 2295 0
469 2328 0
2328 469 0
554 387 0
387 554 0
411 198 0
198 411 0
689 198 0
198 689 0
1734 2616 0
2322 1913 0
1913 2322 0
2616 1734 0
466 229 0
631 2377 0
2377 631 0
229 466 0
228 813 0
813 228 0
790 755 0
2465 1038 0
1038 2465 0
2276 495 0
495 2276 0
328 1826 0
1826 328 0
1890 328 0
328 1890 0
2133 233 0
328 1823 0
1823 328 0
233 2133 0
1348 2639 0
755 790 0
2639 1348 0
1090 1559 0
1559 1090 0
119 1407 0
1268 755 0
755 1268 0
270 1092 0
1092 270 0
427 220 0
220 427 0
1407 119 0
2295 328 0
328 2551 0
808 790 0
826 2343 0
2343 826 0
1484 815 0
1130 1513 0
755 2223 0
2223 755 0
1513 1130 0
815 1484 0
1015 2122 0
2122 1015 0
2021 328 0
328 2021 0
197 2075 0
2075 197 0
1196 859 0
859 1196 0
951 466 0
466 951 0
2295 2141 0
212 300 0
300 212 0
2494 1257 0
1257 2494 0
790 808 0
714 955 0
955 714 0
1098 2133 0
2133 1098 0
1868 2402 0
2402 1868 0
1249 159 0
159 1249 0
2551 328 0
1892 910 0
1110 1227 0
1227 1110 0
2456 54 0
54 2456 0
909 909 0
466 1471 0
1471 466 0
1713 2413 0
2413 1713 0
910 1892 0
1226 2306 0
2369 2324 0
2324 2369 0
672 75 0
1945 668 0
668 1945 0
75 672 0
438 800 0
800 438 0
2466 466 0
466 2466 0
328 1209 0
1209 328 0
2028 1913 0
1913 2028 0
816 19 0
19 816 0
469 2578 0
2578 469 0
687 563 0
563 687 0
1347 1347 0
1819 1819 0
466 1118 0
1118 466 0
1399 2437 0
1176 1656 0
1237 341 0
341 1237 0
1538 1538 0
1581 2265 0
2265 1581 0
328 1184 0
1184 328 0
380 389 0
466 469 0
389 380 0
2254 1169 0
191 1485 0
1485 191 0
466 466 0
990 71 0
71 990 0
2437 1399 0
1184 307 0
307 1184 0
1169 2254 0
760 227 0
469 466 0
1553 1368 0
78 117 0
1243 2421 0
2421 1243 0
117 78 0
1411 450 0
450 1411 0
755 48 0
48 755 0
1038 380 0
380 1038 0
1301 1474 0
1474 1301 0
2034 755 0
