13088 25
</s> 0.013608 0.019901 0.000976 -0.006039 -0.007712 -0.006437 -0.010579 0.016775 -0.016509 -0.008456 0.010542 -0.011823 0.003059 0.019782 -0.017717 0.006954 -0.002884 0.004407 0.010289 -0.002085 0.016186 0.000922 0.007586 0.013492 0.009524 
1:5078 -0.004225 0.008429 0.018809 0.013644 0.000854 -0.003659 -0.015209 0.005496 -0.007256 -0.018732 0.009274 0.009061 0.013416 -0.019148 -0.004472 -0.003038 -0.013610 -0.016829 -0.014970 -0.004213 -0.000680 -0.000765 -0.001745 -0.006246 -0.005971 
0:360 0.011324 -0.018470 0.005731 0.001482 -0.001748 -0.005020 -0.018624 0.000251 0.016052 -0.016198 -0.008676 -0.014479 0.019380 0.004697 0.004225 0.002425 -0.018247 0.013456 0.018367 0.005498 0.003190 0.003895 0.018886 0.007433 -0.004428 
2:9911 0.011938 -0.009304 0.003881 0.019081 -0.011188 0.017016 -0.004820 -0.006165 0.006226 -0.005203 0.005184 0.018099 -0.002318 0.006823 0.001529 -0.019442 0.004594 -0.001323 0.011873 -0.002205 -0.018748 0.011542 0.000954 0.005346 -0.005389 
2:10904 0.016466 0.003467 0.010523 -0.004265 0.017763 -0.001654 -0.012357 -0.009904 -0.017901 0.018147 0.011475 -0.009713 0.004738 -0.007129 -0.002731 -0.005346 -0.000282 0.017634 -0.015524 -0.016897 -0.003261 -0.014161 0.007293 -0.007826 0.007755 
1:5091 -0.012098 0.002431 0.000645 0.011426 0.012869 -0.015099 -0.014297 0.001755 0.001786 0.015584 0.000463 0.003493 -0.017269 -0.007134 0.001690 -0.017187 -0.002077 -0.007744 0.001436 0.007408 -0.002514 0.012256 -0.018989 -0.009792 0.018495 
1:4303 -0.006591 0.003533 -0.013046 -0.010875 -0.012581 -0.019798 -0.018696 -0.000629 -0.010593 -0.017515 0.017532 0.002183 -0.011883 -0.016538 0.017689 -0.009363 -0.003861 -0.011568 -0.012134 -0.013872 0.001806 0.010080 0.011731 -0.001939 -0.003221 
0:1758 0.010729 0.005519 -0.003561 -0.013478 0.018314 0.001072 -0.015823 0.000622 0.004823 -0.019123 -0.014147 -0.018970 0.006231 -0.000448 -0.002673 -0.005131 -0.017225 -0.004128 -0.001902 -0.005612 0.009221 -0.019918 0.017815 -0.013196 -0.015140 
0:1679 -0.008889 0.008627 0.011010 -0.019448 0.007082 -0.008208 -0.006501 0.017306 0.019803 -0.004832 -0.002889 -0.002747 -0.012472 -0.002711 0.006368 0.002356 0.001089 0.002340 -0.010270 -0.012225 -0.019824 0.015035 0.007438 -0.000001 0.018146 
1:4974 0.002159 -0.012335 -0.003427 0.014569 -0.007815 -0.018065 -0.003596 0.015995 0.011366 0.005339 0.011811 -0.002607 -0.009060 -0.009762 -0.007086 0.010126 -0.003920 -0.014432 -0.018103 0.015445 0.009833 0.019251 0.008188 -0.016369 0.011167 
1:4822 -0.000904 0.006122 -0.018692 -0.012222 0.007840 -0.004301 0.002347 -0.011920 -0.000641 0.015741 -0.007314 0.007948 0.004253 -0.015055 -0.005076 -0.011898 -0.016300 -0.005418 0.000499 0.001527 0.017630 0.008904 0.010255 -0.019536 0.007461 
0:188 0.005155 -0.001799 0.012890 -0.000697 0.013767 -0.005470 -0.010245 -0.015063 0.001139 -0.014455 0.019577 -0.017756 0.005635 0.004947 0.008262 -0.019818 0.019852 0.015325 -0.005558 0.013950 0.009066 0.016646 0.013896 -0.003605 -0.018215 
2:7912 -0.005409 -0.004960 0.006308 0.002009 0.004546 -0.002277 0.003067 -0.002459 0.005577 0.001466 0.005959 0.010705 -0.009224 0.002428 0.004606 -0.014837 -0.001168 0.014950 0.003930 -0.001785 0.005151 -0.009920 0.003441 -0.004652 -0.006480 
0:2062 0.000536 0.008453 -0.000584 0.011361 0.008902 -0.007360 -0.012610 -0.019286 0.000403 -0.014571 0.013591 0.019757 -0.002746 0.011555 0.001162 -0.013886 -0.019113 -0.014794 0.004987 0.008527 -0.008704 0.009297 -0.014686 0.002609 -0.013248 
0:1424 0.018089 -0.009077 0.018207 0.017823 0.008117 -0.000572 -0.006149 -0.011487 -0.000725 -0.010532 -0.009842 -0.000904 -0.011206 -0.006758 -0.000312 -0.014084 0.018526 0.000533 0.001583 0.007638 -0.005430 0.016357 0.012958 -0.001708 0.000775 
2:10582 0.016648 -0.002299 -0.017327 0.018605 0.003758 -0.011609 -0.003681 -0.008259 -0.010938 0.014784 0.004589 -0.019259 0.005059 0.012843 0.015348 0.007891 -0.013101 0.004771 0.018895 -0.003103 -0.012854 0.001603 0.011612 0.013646 -0.016333 
2:6955 0.005428 0.003695 0.017549 -0.005696 0.011776 0.015606 0.008355 -0.004762 0.004000 -0.009330 -0.009578 -0.016894 0.011700 -0.004357 0.004829 -0.003842 0.011267 -0.017933 0.019637 -0.016483 -0.003390 -0.006147 -0.010717 -0.006072 0.010114 
2:10443 0.008692 -0.016481 -0.012363 -0.010261 -0.013273 -0.010355 -0.008049 0.013033 -0.002883 -0.002115 -0.007797 0.006124 -0.005644 -0.005264 0.004544 -0.018618 0.000092 0.011086 -0.007913 -0.011696 -0.018850 -0.006607 -0.006380 -0.015647 -0.017078 
1:4763 -0.014336 -0.007265 -0.010400 -0.002773 -0.018028 -0.011652 0.003953 -0.018532 -0.018577 0.010190 -0.019743 -0.003366 0.014667 0.010496 -0.007469 -0.010821 -0.017678 0.010281 -0.001961 0.012688 -0.006837 0.005879 0.014622 -0.017183 -0.002935 
1:2812 0.004279 0.001326 -0.010933 0.001211 0.017761 -0.006478 -0.018583 -0.009807 0.009985 -0.009707 0.013159 -0.019264 0.010837 -0.000272 0.009898 0.006198 -0.010774 0.002710 -0.007785 -0.016545 -0.014916 -0.009775 0.002663 0.012199 -0.014696 
0:538 -0.019348 0.018880 -0.010650 0.016451 -0.009649 0.000268 0.008140 -0.001867 0.014292 0.016926 -0.011798 0.000037 0.018629 -0.017229 -0.001266 0.000214 0.015115 -0.009514 -0.019115 -0.002987 0.018427 -0.016017 0.018188 0.017675 0.010075 
2:10728 -0.010285 0.001155 -0.004617 -0.010629 -0.003191 0.009253 0.012516 0.016451 -0.007486 -0.010875 -0.017144 0.014079 0.005501 -0.012716 0.010285 -0.016754 -0.010988 -0.013587 -0.004827 0.018183 0.007721 0.019024 -0.014079 -0.017245 -0.000989 
0:1415 -0.014511 -0.017689 -0.001018 0.009928 0.018494 0.017345 -0.010501 -0.000395 0.015818 0.019188 -0.011076 -0.019246 0.014506 -0.018447 0.006634 -0.014353 0.010989 0.001866 0.017379 -0.011889 -0.012564 -0.011794 0.006564 0.012435 0.000850 
0:1894 0.012167 -0.011624 -0.002386 0.013112 0.017259 -0.005786 -0.019590 0.001016 -0.005051 -0.006276 -0.008620 -0.015810 0.012006 -0.011930 -0.006958 0.008465 0.015620 -0.016166 -0.012224 0.005789 -0.002826 0.013185 0.013505 -0.001369 0.001328 
2:10835 -0.013733 0.005530 0.002322 0.008837 0.003535 -0.019284 0.005295 0.012639 -0.004662 0.009075 -0.004531 0.019161 0.017429 -0.001583 0.017121 0.009748 0.019883 -0.016897 0.011180 0.009443 -0.013858 -0.000450 -0.001630 -0.003761 0.013229 
0:2623 -0.003962 0.012899 0.006854 0.009905 0.016173 -0.017632 0.006994 -0.011100 0.012811 0.002661 0.005140 0.012613 0.000418 0.014762 0.015742 -0.015071 -0.004709 -0.002612 0.005976 -0.010505 -0.007149 0.017820 0.007204 -0.004340 -0.007515 
2:8720 -0.014808 0.003357 0.007282 -0.006507 0.006241 0.018525 0.007129 -0.008456 0.011614 -0.018712 -0.016478 -0.012505 -0.010512 0.005905 0.006429 -0.015008 0.009961 -0.019746 -0.012865 -0.015695 -0.000832 -0.015904 0.000968 0.012873 0.005686 
1:3025 -0.015648 -0.018554 0.004724 0.017535 -0.015688 -0.004334 0.019316 -0.006094 0.014427 0.004842 -0.018512 -0.003735 0.001051 -0.019300 -0.012893 -0.006495 0.017065 -0.008570 -0.006787 -0.008374 -0.012890 0.000492 -0.014770 -0.016540 -0.002479 
0:1016 0.019957 -0.012610 -0.015587 0.009618 -0.019920 -0.013375 0.009696 -0.014214 0.013231 -0.015940 0.018123 -0.013120 -0.009847 0.002543 -0.001755 -0.008664 -0.010369 0.002267 -0.015852 0.001182 0.012205 -0.009407 0.003405 -0.002206 0.017942 
0:1774 -0.011270 -0.017984 -0.007797 0.004507 0.013449 0.010420 0.000614 0.019216 0.013385 -0.015145 -0.010075 0.014857 0.002481 0.000396 0.010202 0.019473 -0.012240 0.016139 -0.004366 -0.018715 -0.004867 -0.015893 0.001676 -0.010463 0.001087 
0:1232 0.000517 -0.001360 0.009238 0.014707 0.002244 0.012225 0.012855 0.000156 -0.007797 -0.001566 0.007077 0.012726 0.014492 0.015466 -0.004491 0.000835 -0.019933 0.012991 -0.016748 -0.016234 -0.011962 0.019564 -0.011998 -0.002863 0.003824 
2:10197 0.013564 -0.012709 0.005389 -0.016421 -0.007631 0.000188 0.019117 -0.017439 0.016722 -0.004396 0.008665 -0.004943 0.013212 0.002325 0.000528 0.018290 0.006747 -0.013326 0.014436 0.019098 0.008391 0.011516 -0.009008 -0.008715 0.007466 
2:10897 0.004506 0.010446 -0.008988 -0.001850 -0.005697 -0.013238 0.005406 0.004712 -0.013871 -0.013877 0.019200 0.003917 -0.004103 0.001248 -0.014269 -0.003565 -0.005851 0.019309 0.000664 -0.002928 0.014454 0.003342 0.019931 0.003291 0.015116 
1:4224 -0.008159 0.000170 -0.005031 -0.003811 -0.019505 -0.012796 0.014232 -0.019593 -0.011745 0.002237 0.018401 0.018247 0.013872 0.000163 0.019734 -0.016740 -0.018180 0.006447 -0.018381 0.009265 0.011228 0.003459 -0.013112 -0.015431 0.019396 
2:9499 0.005502 -0.002013 -0.010730 -0.017340 0.001181 -0.002796 -0.005702 -0.003604 0.002948 0.010401 -0.006151 -0.006844 -0.009106 -0.010852 -0.017944 0.018848 -0.008659 0.005351 0.006310 -0.003108 0.009643 0.003058 0.011945 0.016631 -0.017923 
