0:57 0:1769 1 0:d
0:1704 0:2656 1 0:d
0:2656 0:1704 1 0:d
0:1708 0:538 2 0:d
0:147 0:656 1 0:d
0:656 0:147 1 0:d
0:2525 0:2611 3 0:d
0:1484 0:2508 1 0:d
0:2611 0:2525 3 0:d
0:211 0:16 3 0:d
0:538 0:2257 1 0:d
0:2259 0:1315 1 0:d
0:1315 0:2259 1 0:d
0:2257 0:538 1 0:d
0:1370 0:360 3 0:d
0:16 0:211 3 0:d
0:2602 0:157 1 0:d
0:2125 0:1499 1 0:d
0:1606 0:1424 1 0:d
0:562 0:386 1 0:d
0:2062 0:1741 1 0:d
0:2346 0:360 1 0:d
0:360 0:2346 1 0:d
0:386 0:562 1 0:d
0:936 0:538 3 0:d
0:538 0:936 3 0:d
0:2508 0:1484 1 0:d
0:2169 0:2302 1 0:d
0:2488 0:2445 1 0:d
0:2302 0:2169 1 0:d
0:2445 0:2488 1 0:d
0:157 0:2602 1 0:d
0:1499 0:2125 1 0:d
0:1424 0:1606 1 0:d
0:1075 0:1075 2 0:d
0:758 0:179 1 0:d
0:101 0:1557 1 0:d
0:1557 0:101 1 0:d
0:2386 0:926 1 0:d
0:1424 0:1524 1 0:d
0:1524 0:1424 1 0:d
0:926 0:2386 1 0:d
0:385 0:946 1 0:d
0:946 0:385 1 0:d
0:2472 0:1470 8 0:d
0:2193 0:1310 1 0:d
0:2079 0:153 1 0:d
0:153 0:2079 1 0:d
0:360 0:2079 1 0:d
0:382 0:2580 1 0:d
0:2580 0:382 1 0:d
0:858 0:1124 1 0:d
0:1310 0:2193 1 0:d
0:538 0:2035 1 0:d
0:1470 0:2472 8 0:d
0:1763 0:1578 1 0:d
0:1202 0:990 1 0:d
0:990 0:1202 1 0:d
0:1291 0:2035 1 0:d
0:222 0:1605 1 0:d
0:385 0:2587 1 0:d
0:1605 0:222 1 0:d
0:970 0:528 1 0:d
0:2587 0:385 1 0:d
0:528 0:970 1 0:d
0:1971 0:2165 1 0:d
0:2165 0:1971 1 0:d
0:338 0:688 1 0:d
0:688 0:338 1 0:d
0:1578 0:1763 1 0:d
0:2035 0:538 1 0:d
0:360 0:1370 3 0:d
0:2 0:360 2 0:d
0:1741 0:2062 1 0:d
0:526 0:592 1 0:d
0:1144 0:397 1 0:d
0:2535 0:1027 1 0:d
0:1124 0:1519 1 0:d
0:183 0:1165 1 0:d
0:1165 0:183 1 0:d
0:1519 0:1124 1 0:d
0:1002 0:360 13 0:d
0:1424 0:2652 1 0:d
0:2141 0:2141 2 0:d
0:1027 0:2535 1 0:d
0:2035 0:1291 1 0:d
0:319 0:974 1 0:d
0:253 0:2640 2 0:d
0:2640 0:253 2 0:d
0:2652 0:1424 1 0:d
0:360 0:1002 13 0:d
0:542 0:2206 1 0:d
0:2206 0:542 1 0:d
0:1887 0:455 1 0:d
0:187 0:2640 1 0:d
0:2193 0:2203 1 0:d
0:2203 0:2193 1 0:d
0:2640 0:187 1 0:d
0:360 0:845 1 0:d
0:2623 0:1061 1 0:d
0:2659 0:241 1 0:d
0:241 0:2659 1 0:d
0:1061 0:2623 1 0:d
0:1519 0:2119 3 0:d
0:397 0:1144 1 0:d
0:2360 0:2360 2 0:d
0:845 0:360 1 0:d
0:2119 0:1519 3 0:d
0:974 0:319 1 0:d
0:179 0:758 1 0:d
0:1930 0:360 1 0:d
0:2607 0:2062 1 0:d
0:306 0:936 1 0:d
0:1363 0:1894 1 0:d
0:538 0:2575 1 0:d
0:2188 0:1320 1 0:d
0:1320 0:2188 1 0:d
0:1894 0:1363 1 0:d
0:2575 0:538 1 0:d
0:2101 0:845 2 0:d
0:360 0:2257 1 0:d
0:2257 0:360 1 0:d
0:845 0:2101 2 0:d
0:12 0:12 2 0:d
0:538 0:1708 2 0:d
0:592 0:526 1 0:d
0:2062 0:2607 1 0:d
0:1009 0:1945 1 0:d
0:1945 0:1009 1 0:d
0:1341 0:2119 1 0:d
0:1668 0:2259 2 0:d
0:2259 0:1668 2 0:d
0:360 0:9 2 0:d
0:9 0:360 2 0:d
0:2062 0:2355 3 0:d
0:2355 0:2062 3 0:d
0:597 0:2645 1 0:d
0:2645 0:597 1 0:d
0:1768 0:1768 2 0:d
0:130 0:1415 1 0:d
0:1415 0:130 1 0:d
0:360 0:802 1 0:d
0:802 0:360 1 0:d
0:936 0:306 1 0:d
0:2119 0:1341 1 0:d
0:360 0:1930 1 0:d
0:360 0:2 2 0:d
0:1124 0:858 1 0:d
0:2079 0:360 1 0:d
0:799 0:193 1 0:d
0:1083 0:1352 1 0:d
0:1550 0:1550 2 0:d
0:470 0:2251 1 0:d
0:345 0:2185 1 0:d
0:2185 0:345 1 0:d
0:380 0:188 5 0:d
0:538 0:794 3 0:d
0:794 0:538 3 0:d
0:187 0:2043 1 0:d
0:2043 0:187 1 0:d
0:2603 0:2352 1 0:d
0:2336 0:1737 16 0:d
0:1737 0:2336 16 0:d
0:2251 0:470 1 0:d
0:188 0:380 5 0:d
0:1352 0:1083 1 0:d
0:193 0:799 1 0:d
0:2168 0:2062 1 0:d
0:194 0:41 1 0:d
0:1439 0:188 1 0:d
0:48 0:1617 1 0:d
0:41 0:194 1 0:d
0:1139 0:165 1 0:d
0:165 0:1139 1 0:d
0:1426 0:1426 2 0:d
0:188 0:1439 1 0:d
0:1832 0:685 1 0:d
0:685 0:1832 1 0:d
0:378 0:2212 1 0:d
0:1398 0:2495 2 0:d
0:2495 0:1398 2 0:d
0:2212 0:378 1 0:d
0:2352 0:2603 1 0:d
0:1617 0:48 1 0:d
0:578 0:2329 1 0:d
0:820 0:2329 2 0:d
0:1807 0:1544 1 0:d
0:704 0:704 2 0:d
0:211 0:211 2 0:d
0:2538 0:1422 1 0:d
0:409 0:2125 1 0:d
0:2125 0:409 1 0:d
0:1544 0:1807 1 0:d
0:2655 0:2062 1 0:d
0:2062 0:2655 1 0:d
0:1656 0:2554 1 0:d
