57 1769
1704 2656
2656 1704
1708 538
147 656
656 147
2525 2611
1484 2508
2611 2525
211 16
538 2257
2259 1315
1315 2259
2257 538
1370 360
16 211
2602 157
2125 1499
1606 1424
562 386
2062 1741
2346 360
360 2346
386 562
936 538
538 936
2508 1484
2169 2302
2488 2445
2302 2169
2445 2488
157 2602
1499 2125
1424 1606
1075 1075
758 179
101 1557
1557 101
2386 926
1424 1524
1524 1424
926 2386
385 946
946 385
2472 1470
2193 1310
2079 153
153 2079
360 2079
382 2580
2580 382
858 1124
1310 2193
538 2035
1470 2472
1763 1578
1202 990
990 1202
1291 2035
222 1605
385 2587
1605 222
970 528
2587 385
528 970
1971 2165
2165 1971
338 688
688 338
1578 1763
2035 538
360 1370
2 360
1741 2062
526 592
1144 397
2535 1027
1124 1519
183 1165
1165 183
1519 1124
1002 360
1424 2652
2141 2141
1027 2535
2035 1291
319 974
253 2640
2640 253
2652 1424
360 1002
542 2206
2206 542
1887 455
187 2640
2193 2203
2203 2193
2640 187
360 845
2623 1061
2659 241
241 2659
1061 2623
1519 2119
397 1144
2360 2360
845 360
2119 1519
974 319
179 758
1930 360
2607 2062
306 936
1363 1894
538 2575
2188 1320
1320 2188
1894 1363
2575 538
2101 845
360 2257
2257 360
845 2101
12 12
538 1708
592 526
2062 2607
1009 1945
1945 1009
1341 2119
1668 2259
2259 1668
360 9
9 360
2062 2355
2355 2062
597 2645
2645 597
1768 1768
130 1415
1415 130
360 802
802 360
936 306
2119 1341
360 1930
360 2
1124 858
2079 360
799 193
1083 1352
1550 1550
470 2251
345 2185
2185 345
380 188
538 794
794 538
187 2043
2043 187
2603 2352
2336 1737
1737 2336
2251 470
188 380
1352 1083
193 799
2168 2062
194 41
1439 188
48 1617
41 194
1139 165
165 1139
1426 1426
188 1439
1832 685
685 1832
378 2212
1398 2495
2495 1398
2212 378
2352 2603
1617 48
578 2329
820 2329
1807 1544
704 704
211 211
2538 1422
409 2125
2125 409
1544 1807
2655 2062
2062 2655
1656 2554
1677 1677
2508 262
262 2508
672 1068
2554 1656
1973 537
537 1973
1204 1322
2329 820
2567 1592
1592 2567
1668 2400
1473 2062
2062 1473
1422 2538
1424 1048
1048 1424
2400 1668
1224 694
694 1224
2228 538
538 2228
1322 1204
2329 578
1102 2554
2554 1102
871 524
711 1356
1545 188
188 1545
2062 1231
459 459
1231 2062
1356 711
1424 177
2399 2399
2517 1086
1102 2585
2585 1102
1086 2517
417 519
177 1424
2047 1000
1000 2047
2613 518
752 153
153 752
360 961
961 360
540 197
197 540
538 2304
2304 538
935 2542
2554 2083
2083 2554
2542 935
2418 1115
1115 2418
518 2613
2640 2659
1426 538
996 1395
1395 996
1700 2035
1399 1734
1734 1399
551 538
2035 1700
524 653
653 524
1739 1739
877 1611
2062 2168
2349 2062
2062 2349
524 871
360 2360
2360 360
2528 2228
455 1887
2228 2528
2320 360
519 417
538 1426
16 13
1341 1415
1415 1341
13 16
2659 2640
538 551
951 1766
1766 951
127 951
47 849
849 47
951 127
360 2320
1611 877
2640 894
894 2640
1333 2610
328 1424
2621 309
859 599
599 859
380 2517
2517 380
711 1908
1908 711
2623 551
551 2623
188 847
847 188
538 454
454 538
309 2621
1424 328
1804 2508
2508 1804
1374 1609
1609 1374
2343 2228
2228 2343
2062 706
706 2062
2248 599
1393 696
696 1393
188 188
360 1191
1191 360
599 2248
328 1526
1526 328
748 265
229 418
1356 308
265 748
843 1758
1341 360
360 1341
1758 843
634 1484
1484 634
2315 360
1697 188
1973 218
2349 2563
1654 306
2045 1484
218 1973
781 2608
188 1697
360 2315
914 1755
2563 2349
1340 59
59 1340
2550 360
615 1022
1022 615
360 2550
446 2640
2640 446
538 336
360 34
34 360
336 538
1679 875
1755 914
875 1679
308 1356
418 229
568 188
1157 1157
2102 1561
1424 1746
859 188
188 859
440 1766
306 2645
1561 2102
743 902
1230 1230
902 743
360 1039
1766 440
1045 1045
247 1424
1039 360
1124 861
2658 637
637 2658
945 1322
2228 808
1246 2125
2228 459
459 2228
2645 306
1576 218
218 1576
861 1124
651 691
691 651
2125 1246
1746 1424
2135 213
213 2135
1146 1146
936 936
1424 247
2332 758
981 1034
1257 1424
1424 1257
1014 2185
2062 1410
1410 2062
2207 360
2185 1014
360 2207
132 847
847 132
2517 2259
2259 2517
1192 1192
188 568
1034 981
2608 781
758 2332
2535 2535
758 2227
2062 2360
2360 2062
528 718
718 528
2488 188
188 2488
2227 758
1088 1268
1644 1957
1268 1088
1957 1644
1343 360
800 1424
360 1343
1424 800
1068 672
204 2335
1484 2045
1833 1304
1304 1833
1040 2658
253 1488
743 1756
1756 743
2658 1040
68 253
253 68
1341 1311
1311 1341
1063 2218
1769 2658
1109 360
386 386
1488 253
360 949
949 360
1550 213
2611 2644
2644 2611
1809 2538
2592 1218
1073 1257
1257 1073
2062 2051
2051 2062
1218 2592
1931 542
779 1278
691 179
179 691
1278 779
360 1109
213 1550
1132 2554
2554 1132
360 662
458 2257
982 2337
1310 1737
1737 1310
2337 982
662 360
1642 151
2257 458
2481 1415
1890 360
360 1890
1415 2481
2610 1333
151 1642
286 2062
2467 435
435 2467
1155 538
542 1931
2218 1063
1188 2143
2143 1188
2658 1769
360 1073
1073 360
2525 345
345 2525
1000 1204
2101 2640
1086 1086
2640 2101
2062 286
538 1155
1204 1000
2538 1809
1756 2006
709 2640
1973 2538
2538 1973
2215 74
2639 1231
1231 2639
2061 2061
1811 1672
74 2215
1596 2414
2414 1596
1259 526
363 2062
2062 363
1672 1811
2640 709
1884 74
74 1884
541 2388
2388 541
810 1513
2335 204
1513 810
1631 2649
2649 1631
1285 2033
2033 1285
174 2062
2524 1424
1424 2524
2062 174
2025 2500
